"1","Hocus Pocus","Magic Hat","South Burlington","Vermont"
"3","Widdershins Barleywine","Left Hand Brewing Compan","Longmont","Colorado"
"9","Espresso Porter","Empyrean Brewing Company","Lincoln","Nebraska"
"12","JuJu Ginger","Left Hand Brewing Compan","Longmont","Colorado"
"15","Oak-Aged Belgian Tripel","Upstream Brewing Company","Omaha","Nebraska"
"18","Old Foghorn 2001","Anchor Brewing","San Francisco","California"
"20","Cow Palace Scotch Ale 19","Egan Brewing","De Pere","Wisconsin"
"26","Winter Ale","Summit Brewing","Saint Paul","Minnesota"
"28","Odell IPA","Odell Brewing","Fort Collins","Colorado"
"29","Ornery Amber Lager","Tommyknocker Brewery and","Idaho Springs","Colorado"
"30","Cutthroat Porter","Odell Brewing","Fort Collins","Colorado"
"31","Maple Nut Brown Ale Ale","Tommyknocker Brewery and","Idaho Springs","Colorado"
"32","Cocoa Porter","Tommyknocker Brewery and","Idaho Springs","Colorado"
"37","Winter Cheer","Spanish Peaks Brewing","Polson","Montana"
"43","Maracaibo Especial","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"45","Calabaza Blanca","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"46","Porter","Nebraska Brewing Company","Papillion","Nebraska"
"47","Cardinal Pale Ale","Nebraska Brewing Company","Papillion","Nebraska"
"49","Bridal Ale 2005","Pelican Pub & Brewery","Pacific City","Oregon"
"53","Red Sled Winter Ale","Nebraska Brewing Company","Papillion","Nebraska"
"57","Obovoid Empirical Stout","Boulder Beer Company","Boulder","Colorado"
"58","Furious Beer","Surly Brewing","Brooklyn Center","Minnesota"
"59","Bender Beer","Surly Brewing","Brooklyn Center","Minnesota"
"60","Oak Aged Ebenezer","Upstream Brewing Company","Omaha","Nebraska"
"61","Killer Penguin","Boulder Beer Company","Boulder","Colorado"
"62","Oatmeal Stout","Breckenridge Brewery","Denver","Colorado"
"63","Isolation Ale","Odell Brewing","Fort Collins","Colorado"
"64","Festive Ale 2007","Empyrean Brewing Company","Lincoln","Nebraska"
"65","Bourbon County Stout 200","Goose Island Beer Compan","Chicago","Illinois"
"68","Big Shot Seasonal Ale","New Belgium Brewing","Fort Collins","Colorado"
"70","Harvest Ale 2007","Sierra Nevada Brewing Co","Chico","California"
"71","Nut Cracker Ale","Boulevard Brewing Compan","Kansas City","Missouri"
"72","Goosinator Smoked Doppel","Left Hand Brewing Compan","Longmont","Colorado"
"73","Snow Bound Winter Ale","Left Hand Brewing Compan","Longmont","Colorado"
"74","Warrior IPA","Left Hand Brewing Compan","Longmont","Colorado"
"81","Never Summer Ale","Boulder Beer Company","Boulder","Colorado"
"82","Modern Monks Belgian Blo","Thunderhead Brewery #2","Grand Island","Nebraska"
"83","Grand Cru","Thunderhead Brewery #2","Grand Island","Nebraska"
"87","Glacier Ale","Red Lodge Ales","Red Lodge","Montana"
"88","Bent Nail IPA","Red Lodge Ales","Red Lodge","Montana"
"89","Espresso Porter","Montana Brewing","Billings","Montana"
"90","Harvest Ale","Montana Brewing","Billings","Montana"
"91","Stillwater Rye","Montana Brewing","Billings","Montana"
"92","Sharptail Pale Ale","Montana Brewing","Billings","Montana"
"93","Fat Belly Amber","Montana Brewing","Billings","Montana"
"94","Whitetail Wheat","Montana Brewing","Billings","Montana"
"95","Sandbagger Gold","Montana Brewing","Billings","Montana"
"96","Brunette Nut Brown Ale","Nebraska Brewing Company","Papillion","Nebraska"
"97","Irish Red","Nebraska Brewing Company","Papillion","Nebraska"
"98","Belgian Wit","Nebraska Brewing Company","Papillion","Nebraska"
"99","EOS Hefeweizen","Nebraska Brewing Company","Papillion","Nebraska"
"100","India Pale Ale","Nebraska Brewing Company","Papillion","Nebraska"
"102","Pride & Joy Mild Ale","Three Floyds Brewing","Munster","Indiana"
"103","Robert the Bruce Scottis","Three Floyds Brewing","Munster","Indiana"
"109","Woody Organic IPA","Roots Organic Brewing","Portland","Oregon"
"112","La Folie Falling Rock","New Belgium Brewing","Fort Collins","Colorado"
"113","Oak Aged IPA","Upstream Brewing Company","Omaha","Nebraska"
"118","Triple Dipsea Belgian","Marin Brewing","Larkspur Landing","California"
"120","Imperial Hefeweizen","Pyramid Alehouse, Brewer","Berkeley","California"
"121","Triple Exultation Old Al","Eel River Brewing","Fortuna","California"
"122","Organic Gingerbread Ale","Bison Brewing","Berkeley","California"
"123","Falcon Pale Ale","Rock Bottom Restaurant &","Denver","Colorado"
"124","Buzzsaw Brown","Deschutes Brewery","Bend","Oregon"
"126","Geist Bock","Golden Valley Brewery an","McMinnville","Oregon"
"127","Troll Porter","Hale's Ales #3","Seattle","Washington"
"129","Cinder Cone Red","Deschutes Brewery","Bend","Oregon"
"130","LTD 02 Lager","Full Sail Brewing #1","Hood River","Oregon"
"132","Organic Barley Wine Ale ","Bison Brewing","Berkeley","California"
"133","Old Boardhead 2006","Full Sail Brewing #1","Hood River","Oregon"
"134","Blue Dot Double India Pa","Hair of the Dog Brewing","Portland","Oregon"
"135","Nugget","Full Sail Brewing #1","Hood River","Oregon"
"136","American Pale Ale","Spanish Peaks Brewing","Polson","Montana"
"137","471 Extra ESB","Breckenridge Brewery","Denver","Colorado"
"138","Odell Red Ale","Odell Brewing","Fort Collins","Colorado"
"141","Haymaker Extra Pale Ale","BridgePort Brewing","Portland","Oregon"
"142","Pale Ale","Dick's Brewing","Centralia","Washington"
"143","Silk Lady","Dick's Brewing","Centralia","Washington"
"144","Danger Ale","Dick's Brewing","Centralia","Washington"
"145","Irish Style Ale","Dick's Brewing","Centralia","Washington"
"147","Steelie Brown Ale","Skagit River Brewing","Mount Vernon","Washington"
"148","Bond Street 19th Anniver","Deschutes Brewery","Bend","Oregon"
"149","Trumpeter","Skagit River Brewing","Mount Vernon","Washington"
"150","Nitro Porter","Thunderhead Brewery #2","Grand Island","Nebraska"
"151","Fourteen","Avery Brewing Company","Boulder","Colorado"
"152","Old Stock Ale 2007","North Coast Brewing Comp","Fort Bragg","California"
"153","Cold Hop","Boulder Beer Company","Boulder","Colorado"
"157","Biere de Mars","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"160","WPA (Wheat Pale Ale)","Minneapolis Town Hall Br","Minneapolis","Minnesota"
"161","Smoked Hefe","Minneapolis Town Hall Br","Minneapolis","Minnesota"
"164","Duke IPA","Granite City Food & Brew","Omaha","Nebraska"
"165","Broad Axe Stout","Granite City Food & Brew","Omaha","Nebraska"
"166","Northern Light Lager","Granite City Food & Brew","Omaha","Nebraska"
"171","Samurai","Great Divide Brewing","Denver","Colorado"
"172","Crystal Ale","Big Sky Brewing","Missoula","Montana"
"174","Coney Island Lager","Shmaltz Enterprises","San Francisco","California"
"181","Bock","Anchor Brewing","San Francisco","California"
"182","Double India Pale Ale","Mad River Brewing","Blue Lake","California"
"183","Old Bawdy 2006","Pike Pub and Brewery","Seattle","Washington"
"185","Certified Organic India ","Eel River Brewing","Fortuna","California"
"186","Certified Organic Porter","Eel River Brewing","Fortuna","California"
"187","Certified Organic Extra ","Eel River Brewing","Fortuna","California"
"188","Certified Organic Amber ","Eel River Brewing","Fortuna","California"
"189","Farm House Ale","Jack Russell Brewing","Camino","California"
"190","Beer Town Brown","BridgePort Brewing","Portland","Oregon"
"192","Mephistopheles Stout","Avery Brewing Company","Boulder","Colorado"
"195","Ringwood Brewery Old Thu","Shipyard Brewing - Portl","Portland","Maine"
"196","Export Ale","Shipyard Brewing - Portl","Portland","Maine"
"197","Bourbon Barrel Porter","Oregon Trail Brewery","Corvallis","Oregon"
"198","Old Guardian Barley Wine","Stone Brewing Co.","Escondido","California"
"199","White Christmas","Moylan's Brewery & Resta","Novato","California"
"201","Undercover Investigation","Lagunitas Brewing Compan","Petaluma","California"
"204","Gueuze-Lambic","Upstream Brewing Company","Omaha","Nebraska"
"206","Sawtooth Ale","Left Hand Brewing Compan","Longmont","Colorado"
"207","Pole Star Pilsner","Left Hand Brewing Compan","Longmont","Colorado"
"208","90 Shilling","Odell Brewing","Fort Collins","Colorado"
"209","Sunshine Wheat","New Belgium Brewing","Fort Collins","Colorado"
"213","Black Jack Porter","Left Hand Brewing Compan","Longmont","Colorado"
"214","Lunar Ale","Boulevard Brewing Compan","Kansas City","Missouri"
"217","Grand Cru","Upstream Brewing Old Mar","Omaha","Nebraska"
"218","Summer Common","Empyrean Brewing Company","Lincoln","Nebraska"
"223","Skinny Dip","New Belgium Brewing","Fort Collins","Colorado"
"225","Summer Bright Ale","Breckenridge Brewery","Denver","Colorado"
"226","Mothership Wit","New Belgium Brewing","Fort Collins","Colorado"
"231","Double Pilsner","Odell Brewing","Fort Collins","Colorado"
"232","Creamy Dark","Jacob Leinenkugel Brewin","Chippewa Falls","Wisconsin"
"235","Jack of Spades Schwarzbi","Gottberg Brew Pub","Columbus","Nebraska"
"236","Shiner Hefeweizen","Spoetzl Brewery","Shiner","Texas"
"238","Dark German Lager","Empyrean Brewing Company","Lincoln","Nebraska"
"239","Spring Heat Spiced Wheat","Anheuser-Busch","Saint Louis","Missouri"
"246","Fallen Angel Sweet Stout","Empyrean Brewing Company","Lincoln","Nebraska"
"247","Hot Shot ESB","Great Divide Brewing","Denver","Colorado"
"252","Eccentric Belgian Wheat","Empyrean Brewing Company","Lincoln","Nebraska"
"253","Oatmeal Stout","Tied House Cafe & Brewer","San Jose","California"
"254","Amber Light","Tied House Cafe & Brewer","San Jose","California"
"255","New World Wheat","Tied House Cafe & Brewer","San Jose","California"
"256","Maibock","Tied House Cafe & Brewer","San Jose","California"
"257","Ironwood Dark","Tied House Cafe & Brewer","San Jose","California"
"258","Cascade Amber","Tied House Cafe & Brewer","San Jose","California"
"259","Alpine Gold","Tied House Cafe & Brewer","San Jose","California"
"260","Illuminator Doppelbock","Half Moon Bay Brewing","Princeton by the Sea","California"
"261","Old Princeton Landing IP","Half Moon Bay Brewing","Princeton by the Sea","California"
"262","Paddle Out Stout","Half Moon Bay Brewing","Princeton by the Sea","California"
"263","Pillar Point Pale Ale","Half Moon Bay Brewing","Princeton by the Sea","California"
"264","Sandy Beach Blonde Hefew","Half Moon Bay Brewing","Princeton by the Sea","California"
"265","Mavericks Amber Ale","Half Moon Bay Brewing","Princeton by the Sea","California"
"266","Harbor Light Ale","Half Moon Bay Brewing","Princeton by the Sea","California"
"267","Leroy Barleywine","Seabright Brewery","Santa Cruz","California"
"268","Oatmeal Stout","Seabright Brewery","Santa Cruz","California"
"269","Amber","Seabright Brewery","Santa Cruz","California"
"270","Blur IPA","Seabright Brewery","Santa Cruz","California"
"271","Pelican Pale","Seabright Brewery","Santa Cruz","California"
"272","Brew Ribbon","Seabright Brewery","Santa Cruz","California"
"273","Casey Jones Imperial IPA","Iron Springs Pub & Brewe","Fairfax","California"
"274","Fairfax Coffee Porter","Iron Springs Pub & Brewe","Fairfax","California"
"275","Epiphany Ale","Iron Springs Pub & Brewe","Fairfax","California"
"276","IPA","Iron Springs Pub & Brewe","Fairfax","California"
"277","Chazz Cat Rye","Iron Springs Pub & Brewe","Fairfax","California"
"278","Shining Star Pale Ale","Iron Springs Pub & Brewe","Fairfax","California"
"279","Honey Bunny Blonde Ale","Iron Springs Pub & Brewe","Fairfax","California"
"280","Kent Lake Kolsch","Iron Springs Pub & Brewe","Fairfax","California"
"281","Old Blarney Barleywine","Moylan's Brewery & Resta","Novato","California"
"282","Irish Dry Stout","Moylan's Brewery & Resta","Novato","California"
"283","Kilt Lifter Scottish Ale","Moylan's Brewery & Resta","Novato","California"
"284","India Pale Ale","Moylan's Brewery & Resta","Novato","California"
"285","Blonde Bock","Gordon Biersch Brewing","San Jose","California"
"286","Schwarzbier","Gordon Biersch Brewing","San Jose","California"
"287","Czech Lager","Gordon Biersch Brewing","San Jose","California"
"288","Yule Tide","Clipper City Brewing Co.","Baltimore","Maryland"
"289","Pilsner","Gordon Biersch Brewing","San Jose","California"
"291","Porter","Roost Brewery","Campbell","California"
"292","ESB","Roost Brewery","Campbell","California"
"293","Pale Ale","Roost Brewery","Campbell","California"
"294","Kristall Weizen","Roost Brewery","Campbell","California"
"296","Paint the Town Red","HopTown Brewing","Pleasanton","California"
"297","Golden Ale","HopTown Brewing","Pleasanton","California"
"298","Train Wreck IPA","Pleasanton Main Street B","Pleasanton","California"
"299","Zone 7 Porter","Pleasanton Main Street B","Pleasanton","California"
"300","Pleasanton Pale","Pleasanton Main Street B","Pleasanton","California"
"301","Island Wheat","Pleasanton Main Street B","Pleasanton","California"
"302","Hefeweizen","Jack's Brewing","Fremont","California"
"303","Red Ale","Jack's Brewing","Fremont","California"
"304","Penalty Shot Porter","Jack's Brewing","Fremont","California"
"305","India Pale Ale","Jack's Brewing","Fremont","California"
"306","Grid Iron Amber Ale","Jack's Brewing","Fremont","California"
"307","Boys of Summer Wheat","Jack's Brewing","Fremont","California"
"308","Pale Ale","Firehouse Grill & Brewer","Sunnyvale","California"
"309","Red Ale","Firehouse Grill & Brewer","Sunnyvale","California"
"310","Hefeweizen","Firehouse Grill & Brewer","Sunnyvale","California"
"311","Bitter","Firehouse Grill & Brewer","Sunnyvale","California"
"312","Double IPA","Firehouse Grill & Brewer","Sunnyvale","California"
"313","Tatonka Stout","BJ's Restaurant and Brew","Brea","California"
"314","P.M. Porter","BJ's Restaurant and Brew","Brea","California"
"315","Jeremiah Red","BJ's Restaurant and Brew","Brea","California"
"316","Piranha Pale Ale","BJ's Restaurant and Brew","Brea","California"
"317","Harvest Hefeweizen","BJ's Restaurant and Brew","Brea","California"
"318","Brewhouse Blonde","BJ's Restaurant and Brew","Brea","California"
"319","Nutty Brewnette","BJ's Restaurant and Brew","Brea","California"
"321","Belgian Tripel","Faultline Brewing #1","Sunnyvale","California"
"322","Belgian Abbey","Faultline Brewing #1","Sunnyvale","California"
"323","Stout","Faultline Brewing #1","Sunnyvale","California"
"324","Pale Ale","Faultline Brewing #1","Sunnyvale","California"
"325","Best Bitter","Faultline Brewing #1","Sunnyvale","California"
"326","Hefe Weizen","Faultline Brewing #1","Sunnyvale","California"
"327","Pilsner","Faultline Brewing #1","Sunnyvale","California"
"332","Dead Guy Ale","Rogue Brewery","Newport","Oregon"
"333","Avalanche Amber","Breckenridge Brewery","Denver","Colorado"
"334","Hefe Proper Ale","Breckenridge Brewery","Denver","Colorado"
"335","Levity Amber Ale","Odell Brewing","Fort Collins","Colorado"
"336","Easy Street Wheat","Odell Brewing","Fort Collins","Colorado"
"337","Boulevard Pale Ale","Boulevard Brewing Compan","Kansas City","Missouri"
"338","Bully! Porter","Boulevard Brewing Compan","Kansas City","Missouri"
"339","Bovine Belgian Winter Al","Little Apple Brewing","Manhattan","Kansas"
"340","XX Black Angus Stout","Little Apple Brewing","Manhattan","Kansas"
"341","Blarney Stone Stout","Little Apple Brewing","Manhattan","Kansas"
"342","Bison Brown Ale","Little Apple Brewing","Manhattan","Kansas"
"343","Prairie Pale","Little Apple Brewing","Manhattan","Kansas"
"344","Wildcat Wheat","Little Apple Brewing","Manhattan","Kansas"
"345","Boulevard Dry Stout","Boulevard Brewing Compan","Kansas City","Missouri"
"362","471 Double IPA","Breckenridge Brewery","Denver","Colorado"
"372","Matilda","Goose Island Beer Compan","Chicago","Illinois"
"374","Imperial Stout","Odell Brewing","Fort Collins","Colorado"
"382","GABF 25th Year Beer","Boulder Beer Company","Boulder","Colorado"
"383","Old Foghorn 2006","Anchor Brewing","San Francisco","California"
"384","Grand Cru 2006","AleSmith Brewing","San Diego","California"
"397","Barleywine","Green Flash Brewing","Vista","California"
"398","Old Godfather","Speakeasy Ales and Lager","San Francisco","California"
"401","New Belgium Trippel Belg","New Belgium Brewing","Fort Collins","Colorado"
"402","Hennepin Farmhouse Ale","Brewery Ommegang","Cooperstown","New York"
"403","Abbey Belgian Style Ale","New Belgium Brewing","Fort Collins","Colorado"
"404","India Pale Ale","Sierra Nevada Brewing Co","Chico","California"
"405","Bigfoot 2006","Sierra Nevada Brewing Co","Chico","California"
"406","Iron Fist Pale Ale","Revolution Brewing LLC","Chicago","Illinois"
"407","Demolition","Goose Island Beer Compan","Chicago","Illinois"
"408","Oro de Calabaza","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"409","La Roja","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"410","Brother Thelonious","North Coast Brewing Comp","Fort Bragg","California"
"411","Hop Trip Fresh Hop Pale ","Deschutes Brewery","Bend","Oregon"
"412","Organic Belgian Ale","Bison Brewing","Berkeley","California"
"414","Hibernation Ale","Great Divide Brewing","Denver","Colorado"
"415","Wee Heavy Winter Ale","Hale's Ales #3","Seattle","Washington"
"419","Hercules Double IPA","Great Divide Brewing","Denver","Colorado"
"420","Fresh Hop Pale Ale","Great Divide Brewing","Denver","Colorado"
"422","Espresso Stout","Upstream Brewing Company","Omaha","Nebraska"
"423","Inversion IPA","Deschutes Brewery","Bend","Oregon"
"428","Session Premium Lager","Full Sail Brewing #1","Hood River","Oregon"
"431","Blue Paddle Pilsener","New Belgium Brewing","Fort Collins","Colorado"
"437","Imperial Porter","Thunderhead Brewery #2","Grand Island","Nebraska"
"438","Amber Ale","Thunderhead Brewery #2","Grand Island","Nebraska"
"439","La Folie","New Belgium Brewing","Fort Collins","Colorado"
"463","Bigfoot 2000","Sierra Nevada Brewing Co","Chico","California"
"465","Bourbon Imperial Stout","Aksarben Brewing (BOP)","Omaha","Nebraska"
"466","Witbier","Aksarben Brewing (BOP)","Omaha","Nebraska"
"467","Bavarian Bock","Aksarben Brewing (BOP)","Omaha","Nebraska"
"468","Heater","Aksarben Brewing (BOP)","Omaha","Nebraska"
"469","Harvest Brown","Aksarben Brewing (BOP)","Omaha","Nebraska"
"470","Brout","Aksarben Brewing (BOP)","Omaha","Nebraska"
"484","Double Bastard Ale","Stone Brewing Co.","Escondido","California"
"488","Fire in the Hole!","Gottberg Brew Pub","Columbus","Nebraska"
"489","Cow Palace Scotch Ale","Gottberg Brew Pub","Columbus","Nebraska"
"490","Toil & Trubbel Dubbel","Gottberg Brew Pub","Columbus","Nebraska"
"491","Abtskelder Tripel","Gottberg Brew Pub","Columbus","Nebraska"
"492","All-American Gold","Gottberg Brew Pub","Columbus","Nebraska"
"496","Teton Ale","Grand Teton Brewing #2","Victor","Idaho"
"534","Festive Ale 2006","Empyrean Brewing Company","Lincoln","Nebraska"
"535","Green Valley Stone Mill ","Anheuser-Busch","Saint Louis","Missouri"
"536","Green Valley Wild Hop La","Anheuser-Busch","Saint Louis","Missouri"
"593","Saison","New Belgium Brewing","Fort Collins","Colorado"
"653","Hopluia","Spilker Ales","Cortland","Nebraska"
"655","Bobby","Odell Brewing","Fort Collins","Colorado"
"656","1916 Irish Stout","Gottberg Brew Pub","Columbus","Nebraska"
"657","Model-A-Tor Doppelbock","Gottberg Brew Pub","Columbus","Nebraska"
"658","Wilsteraner Altbier","Gottberg Brew Pub","Columbus","Nebraska"
"659","Eighty-Shilling Scottish","Gottberg Brew Pub","Columbus","Nebraska"
"663","Trademark English Pale","Breckenridge Brewery","Denver","Colorado"
"664","Jolly Roger","Maritime Pacific Brewing","Seattle","Washington"
"665","Firkin IPA","Maritime Pacific Brewing","Seattle","Washington"
"666","Portage Bay Pilsener","Maritime Pacific Brewing","Seattle","Washington"
"667","Old Seattle Lager","Maritime Pacific Brewing","Seattle","Washington"
"668","Nightwatch Dark Ale","Maritime Pacific Brewing","Seattle","Washington"
"669","Islander Pale Ale","Maritime Pacific Brewing","Seattle","Washington"
"670","Salmon Bay E.S.B.","Maritime Pacific Brewing","Seattle","Washington"
"671","Clipper Gold Hefeweizen","Maritime Pacific Brewing","Seattle","Washington"
"672","Flagship Red Alt Ale","Maritime Pacific Brewing","Seattle","Washington"
"673","Slam Dunkelweizen","Big Time Brewing","Seattle","Washington"
"674","Trombipulator","Big Time Brewing","Seattle","Washington"
"675","Faux Paddy Irish Ale","Big Time Brewing","Seattle","Washington"
"676","Black Mulligan Dublin St","Big Time Brewing","Seattle","Washington"
"677","Coal Creek Porter","Big Time Brewing","Seattle","Washington"
"678","Atlas Amber Ale","Big Time Brewing","Seattle","Washington"
"679","Prime Time Pale Ale","Big Time Brewing","Seattle","Washington"
"680","Snow Melt Nitrogen Pale","Big Time Brewing","Seattle","Washington"
"681","Old Rip Oatmeal Stout","Big Time Brewing","Seattle","Washington"
"682","Scarlet Fire IPA","Big Time Brewing","Seattle","Washington"
"683","The Immortal IPA","Elysian Brewery & Public","Seattle","Washington"
"684","Whoville Weizenbock","Elysian Brewery & Public","Seattle","Washington"
"685","Warminster Special Bitte","Elysian Brewing - Tangle","Seattle","Washington"
"686","AK-47 Malt Liquor","Elysian Brewing - Tangle","Seattle","Washington"
"687","Foster Child Australian ","Elysian Brewing - Tangle","Seattle","Washington"
"688","Avatar Jasmine IPA","Elysian Brewery & Public","Seattle","Washington"
"690","Elysian Fields Pale Ale","Elysian Brewery & Public","Seattle","Washington"
"691","Loki","Elysian Brewery & Public","Seattle","Washington"
"692","Zephyrus Pilsner","Elysian Brewery & Public","Seattle","Washington"
"693","Perseus Porter","Elysian Brewery & Public","Seattle","Washington"
"694","The Wise ESB","Elysian Brewery & Public","Seattle","Washington"
"695","Ambrosia Maibock","Elysian Brewery & Public","Seattle","Washington"
"697","Auld Acquaintance Spiced","Pike Pub and Brewery","Seattle","Washington"
"698","India Pale Ale","Pike Pub and Brewery","Seattle","Washington"
"699","Oatmeal Stout","Pike Pub and Brewery","Seattle","Washington"
"700","Kilt Lifter Scotch Ale","Pike Pub and Brewery","Seattle","Washington"
"701","Pale Ale","Pike Pub and Brewery","Seattle","Washington"
"702","Weisse","Pike Pub and Brewery","Seattle","Washington"
"703","Imperial Stout","Twin Rivers Brewing","Monroe","Washington"
"704","Imperial I.P.A.","Twin Rivers Brewing","Monroe","Washington"
"705","India Pale Ale","Twin Rivers Brewing","Monroe","Washington"
"706","N.W. Pale Ale","Twin Rivers Brewing","Monroe","Washington"
"707","Bock","Twin Rivers Brewing","Monroe","Washington"
"708","Weissbier","Twin Rivers Brewing","Monroe","Washington"
"709","Saison","Twin Rivers Brewing","Monroe","Washington"
"710","Pilsner","Twin Rivers Brewing","Monroe","Washington"
"711","Nebraska Bitter","McMenamins Mill Creek","Mill Creek","Washington"
"712","Irish Stout","McMenamins Mill Creek","Mill Creek","Washington"
"713","I.M. Pale","McMenamins Mill Creek","Mill Creek","Washington"
"714","Wheat Beer","McMenamins Mill Creek","Mill Creek","Washington"
"715","Golden","McMenamins Mill Creek","Mill Creek","Washington"
"716","Porter","McMenamins Mill Creek","Mill Creek","Washington"
"717","Terminator Stout","McMenamins Mill Creek","Mill Creek","Washington"
"718","India Pale Ale","McMenamins Mill Creek","Mill Creek","Washington"
"719","Hammerhead Ale","McMenamins Mill Creek","Mill Creek","Washington"
"720","Icebreaker Barley Wine","Diamond Knot Brewery & A","Mukilteo","Washington"
"721","Industrial IPA","Diamond Knot Brewery & A","Mukilteo","Washington"
"722","IPA","Diamond Knot Brewery & A","Mukilteo","Washington"
"723","Possession Porter","Diamond Knot Brewery & A","Mukilteo","Washington"
"724","Steamer Glide Stout","Diamond Knot Brewery & A","Mukilteo","Washington"
"725","E.S.B.","Diamond Knot Brewery & A","Mukilteo","Washington"
"726","Brown Ale","Diamond Knot Brewery & A","Mukilteo","Washington"
"727","Golden Ale","Diamond Knot Brewery & A","Mukilteo","Washington"
"728","Hefe-Weizen","Diamond Knot Brewery & A","Mukilteo","Washington"
"729","Lighthouse Ale","Diamond Knot Brewery & A","Mukilteo","Washington"
"730","Golden","Eagle Brewing","Mukilteo","Washington"
"731","Gale Force IPA","Scuttlebutt Brewing","Everett","Washington"
"732","Porter","Scuttlebutt Brewing","Everett","Washington"
"733","Nut Brown","Scuttlebutt Brewing","Everett","Washington"
"734","Amber Ale","Scuttlebutt Brewing","Everett","Washington"
"735","Hefe Weizen","Scuttlebutt Brewing","Everett","Washington"
"736","Maibock","Scuttlebutt Brewing","Everett","Washington"
"737","Sequoia Red","Scuttlebutt Brewing","Everett","Washington"
"738","Homeport Blonde","Scuttlebutt Brewing","Everett","Washington"
"739","Skibbereen Stout","Skagit River Brewing","Mount Vernon","Washington"
"740","Red Card Lager","Skagit River Brewing","Mount Vernon","Washington"
"741","Navidad","Skagit River Brewing","Mount Vernon","Washington"
"742","Free Bike Amber","Skagit River Brewing","Mount Vernon","Washington"
"743","Highwater Porter","Skagit River Brewing","Mount Vernon","Washington"
"744","Skagit Brown Ale","Skagit River Brewing","Mount Vernon","Washington"
"745","Yellowjacket Pale Ale","Skagit River Brewing","Mount Vernon","Washington"
"746","Dutch Girl Lager","Skagit River Brewing","Mount Vernon","Washington"
"747","Del Rio Lager","Skagit River Brewing","Mount Vernon","Washington"
"748","Barleywine","Engine House #9","Tacoma","Washington"
"749","Imperial Pale","Engine House #9","Tacoma","Washington"
"750","Spring Bock","Engine House #9","Tacoma","Washington"
"751","Irish Stout","Engine House #9","Tacoma","Washington"
